night,speaker,text,neg,neu,pos,compound
first,HICKENLOOPER,We've got  I don't know  on the two debate nights we've got 170 years of Washington experience. Somehow it seems like that should be fairly fixable.,0,0.906,0.094,0.3612
first,WARREN,Well and one way to fix it is to decriminalize. That's the whole point. What we're,0,0.877,0.123,0.2732
first,WARREN,looking for here is a way to take away the tool that Donald Trump has used,0,1,0,0
first,BASH,Thank you Senator Warren. ,0,0.545,0.455,0.3612
first,WARREN, to break up families. ,0,1,0,0
first,BASH,Thank you Senator Warren. Senator Klobuchar your response?,0,0.737,0.263,0.3612
first,KLOBUCHAR,I would say there is the will to change this in Congress. What's missing is the right person in the White House. I believe that immigrants don't diminish America; they are America. And if you want to do something,0.057,0.909,0.034,-0.2263
first,KLOBUCHAR,about border security you first of all change the rules so people can seek asylum in those Northern Triangle countries.,0,0.888,0.112,0.34
first,KLOBUCHAR,Then you pass the bill. And what the bill will do is it will greatly reduce the deficit and give us some money for border security and for border processing the cases. And most of all it will allow for a path to citizenship.,0.063,0.846,0.091,0.0865
first,KLOBUCHAR,Because this is not just about the border,0,1,0,0
first,BASH,Thank you. ,0,0.286,0.714,0.3612
first,KLOBUCHAR, Donald Trump wants to use these people as political pawns when we have people,0,1,0,0
first,BASH,Thank you Senator Klobuchar. ,0,0.545,0.455,0.3612
first,KLOBUCHAR, all over our country that simply want to work,0,0.86,0.14,0.0772
first,BASH,Thank you. ,0,0.286,0.714,0.3612
first,KLOBUCHAR, and obey the law. ,0,1,0,0
first,BASH,Senator Sanders you want to provide undocumented immigrants free health care and free college. Why won't this drive even more people to come to the U.S. illegally? ,0,0.674,0.326,0.8779
first,SANDERS,Because we'll have strong border protections. But the main point I want to make is that what Trump is doing through his racism and his xenophobia is demonizing a group of people. And as president I will end that demonization. ,0.096,0.796,0.108,-0.128
first,SANDERS,If a mother and a child walk thousands of miles on a dangerous path in my view they are not criminals.,0.14,0.724,0.136,-0.0263
first,SANDERS,"They are people fleeing violence. And I think the main thing that we've got to do  among many others and Beto made this point  we've got to ask ourselves ""Why are people walking 2000 miles to a strange country where they don't know the language?""",0.126,0.874,0,-0.7096
first,SANDERS,So what we will do the first week we are in the White House is bring the entire hemisphere together to talk about how we rebuild Honduras,0,1,0,0
first,BASH,Thank,0,0,1,0.3612
first,SANDERS, Guatemala and El Salvador so people do not have to flee their own countries. ,0,1,0,0
first,BASH,Thank you Senator. ,0,0.444,0.556,0.3612
first,BASH,Governor Bullock about two-thirds of Democratic voters and many of your rivals here for the nomination support giving health insurance to undocumented immigrants. You haven't gone that far. Why not?,0,0.846,0.154,0.6249
first,BULLOCK,Look I think this is the part of the discussion that shows how often these debates are detached from people's lives. We've got 100000 people showing up at the border right now. If we decriminalize entry if we give health care to everyone we'll have multiples of that. Don't take my word that was President Obama's Homeland Security secretary that said that. ,0.023,0.891,0.086,0.6249
first,BULLOCK,The biggest problem right now that we have with immigration it's Donald Trump. He's using immigration to not only rip apart families but rip apart this country. We can actually get to the point where we have safe borders where we have a path to citizenship where we have opportunities for Dreamers.,0.032,0.841,0.127,0.7506
first,BULLOCK,And you don't have to decriminalize everything. What you have to do is have a president in there with the judgment and the decency to treat someone that comes to the border like one of our own.,0,0.867,0.133,0.6369
first,WARREN,You know I just wanted (ph),0,1,0,0
first,WARREN,to,0,1,0,0
first,BASH,Senator,0,1,0,0
first,WARREN, add on this,0,1,0,0
first,BASH, he just said your plan in unrealistic. How do you respond? ,0,1,0,0
first,WARREN,You know I think that what we have to do is we have to be an America that is clear about what we want to do with immigration. We need to expand legal immigration. We need to create a path for citizenship not just for Dreamers but for grandmas and for people who have been working here in the farms and for students who have overstayed their visas,0,0.892,0.108,0.5267
first,WARREN,we need to fix the crisis at the border. And a big part of how we do that is we do not play into Donald Trump's hands.,0.204,0.796,0,-0.7299
first,BULLOCK,But,0,1,0,0
first,WARREN,He wants to stir up the crisis at the border because that's his overall message. It's  if there's anything wrong in your life blame them.,0.304,0.696,0,-0.8625
first,BASH,Thank you Senator Warren. ,0,0.545,0.455,0.3612
first,BASH,Governor Bullock your response?,0,1,0,0
first,BULLOCK,But you are playing into Donald Trump's hands. The challenge isn't that it's a criminal offense to cross the border. The challenge is that Donald Trump is president and using this to rip families apart. ,0.052,0.76,0.188,0.4898
first,BULLOCK,A sane immigration system needs a sane leader. And we can do that without decriminalizing and providing health care for everyone.,0,0.849,0.151,0.4939
first,BULLOCK,And it's not me saying that that's Obama's Homeland Security secretary,0,0.806,0.194,0.34
first,WARREN,No. ,1,0,0,-0.296
first,BULLOCK, that said you'll cause further problems at the border not making it better. ,0.317,0.683,0,-0.6256
first,WARREN,What  what you're saying is ignore the law. Laws matter. And it matters if we say our law is that we will lock people up who come here seeking refuge who come here seeking asylum that is not a crime. And as Americans what we need to do is have a sane system that keeps us safe at the border but does not criminalize the activity,0.026,0.884,0.09,0.3016
first,BASH,Thank you Senator Warren. ,0,0.545,0.455,0.3612
first,WARREN, of a mother fleeing here for safety. ,0,0.641,0.359,0.4215
first,BULLOCK,Dana I must correct (ph),0,1,0,0
first,BULLOCK,the (ph),0,1,0,0
first,BULLOCK,record (ph),0,1,0,0
first,BASH,Congressman Ryan are Senator Sanders' proposals going to incentivize undocumented immigrants to come into this country illegally?,0,1,0,0
first,RYAN,Yes. And right now if you want to come into the country you should at least ring the doorbell. We have asylum laws. I saw the kids up in Grand Rapids not far from here. It is shameful what's happening. But Donald Trump is doing it. ,0.062,0.801,0.137,0.4215
first,RYAN,And even if you decriminalize which we should not do you still have statutory authority. The president could still use his authority to separate families. So we've got to get rid of Donald Trump. But you don't decriminalize people just walking into the United States. If they're seeking asylum of course we want to welcome them. We're a strong enough country to be able to welcome them.,0,0.787,0.213,0.9186
first,RYAN,And as far as the healthcare goes undocumented people can buy healthcare too. I mean everyone else in America is paying for their healthcare. I think - I don't think it's a stretch for us to ask undocumented people in the country to also pay for healthcare.,0.033,0.967,0,-0.1027
first,BASH,Senator Sanders your response?,0,1,0,0
first,SANDERS,Well I have two things. A sane immigration policy moves the comprehensive immigration reform. It moves to a humane border policy and which by the way we have enough administrative judges so that we don't have incredible backlogs that we have right now. ,0,0.903,0.097,0.4767
first,SANDERS,But to your answer your question I happen to believe that when I talk about healthcare as a human right that applies to all people in this country and under a Medicare for All single payer system we could afford to do that.,0,1,0,0
first,BASH,Senator Sanders thank you. And Ms. Williamson your response?,0,0.762,0.238,0.3612
first,WILLIAMSON,Everything that we're talking about here tonight is what's wrong with American politics and the Democratic Party needs to understand that we should be the party that talks not just about symptoms but also about causes. When it - when we're talking about healthcare we need to talk about more than just the healthcare plan.,0.036,0.899,0.065,0.1655
first,WILLIAMSON,We need to realize we have a sickness care rather than a healthcare system. We need to be the party talking about why so many of our chemical policies and our food policies and our agricultural policies and our environment policies and even our economic policies are leading to people sick to begin with.,0.057,0.842,0.101,0.3818
first,LEMON,Thank you ,0,0.286,0.714,0.3612
first,WILLIAMSON,That's what the democratic  but I want to say more ,0,0.847,0.153,0.1154
first,LEMON,Thank you Ms. Williamson.,0,0.545,0.455,0.3612
first,WILLIAMSON, about. OK.,0,0.254,0.746,0.4466
first,LEMON,Thank you Ms. Williamson.,0,0.545,0.455,0.3612
first,WILLIAMSON,I hope you'll come back to me this time (ph).,0,0.734,0.266,0.4404
first,LEMON,Go ahead. Thank you Ms. Williamson. Let's turn now to the issue of gun violence. There were three large-scale shootings this past week in America at a park in Brooklyn on the streets on Philadelphia and one that left three dead and 12 injured at a food festival in Gilroy California. Governor - excuse me Mayor Buttigieg other than offering words of comfort what're you specially going to do to stop this epidemic of gun violence?,0.237,0.662,0.101,-0.9287
first,BUTTIGIEG,Well this epidemic of gun violence has hit my community too far too many times. It's the worst part of being there getting the phone call consoling grieving parents. And we have a mass shooting's worth of killings everyday in this country. What we're doing hasn't worked because we haven't had a system in Washington capable of delivering what the American people have told us they want.,0.224,0.68,0.096,-0.926
first,BUTTIGIEG,Eighty 90 percent of Republicans want universal background checks not to mention the common sense solutions like red flag laws that disarmed domestic abusers and flag mental health risks and an end to assault weapons things like what I carried overseas in uniform that have no business in American neighbors in peace time (ph),0.211,0.622,0.166,-0.6249
first,BUTTIGIEG,let alone anywhere near a school.,0.333,0.667,0,-0.25
first,BUTTIGIEG,I was at an event a few days ago and a 13-year-old asked me what we're going to do about school safety and then began shaking and then began crying. And we can talk about these policies but we already know the policies. I only thing I could think of looking into the eyes of this child is we're supposed to be dealing with this so you don't have to. High school is hard enough without having to worry about whether you're going to get shot.,0.058,0.884,0.058,0.2521
first,LEMON,Thank you.,0,0.286,0.714,0.3612
first,BUTTIGIEG,And when 90 percent of Americans want something to happen ,0,0.874,0.126,0.0772
first,LEMON,Thank you Mayor.,0,0.444,0.556,0.3612
first,BUTTIGIEG, and Washington ,0,1,0,0
first,LEMON,Thank you Mayor. Thank you Mayor. Governor Hickenlooper your response please?,0,0.523,0.477,0.743
first,KLOBUCHAR,I disagree - I disagree with his diagnosis of the problem.,0.612,0.388,0,-0.7845
first,LEMON,Please standby Senator.,0,0.465,0.535,0.3182
first,KLOBUCHAR,OK.,0,0,1,0.296
first,LEMON,Please stick to the rules. We'll get to you - we'll come to you in a just a minute. Governor Hickenlooper please respond.,0,0.796,0.204,0.5574
first,HICKENLOOPER,Well this is the fundamental nonsense of government another thing - another place where despite our best efforts we can't seem to make any progress. You know when I went to the - to the movie theater in Aurora in 2012 and saw that footage of what happened at that crime scene I'll never forget it. ,0.152,0.744,0.104,-0.6126
first,HICKENLOOPER,And we decided you know that we were going to go out and take on the NRA and we passed as a purple state. We passed universal background checks. We limited magazine capacity. We did the basic work that for whatever reason doesn't seem to be able to get done in Washington.,0.037,0.963,0,-0.2263
first,LEMON,Thank you Governor. Senator Klobuchar please respond.,0,0.51,0.49,0.5859
first,KLOBUCHAR,Yes this isn't just about a system or it's not just about words. This is about the NRA. I sat across from the president of the United States after Parkland because I've been a leader on these issues and have the will to close to a boyfriend loophole. ,0,0.884,0.116,0.6705
first,KLOBUCHAR,And I watched and wrote down when nine times he said he wanted universal background checks. The next day he goes and he meets with the NRA and he folds. As your president I will not fold. I will make sure that we get universal background checks passed the assault weapon ban (ph),0.166,0.794,0.04,-0.8074
first,KLOBUCHAR,that we do something about magazines and that we understand when 6 little - little 6-year-old boy died Stephen Romero when his dad said he's only 6 years old all I can -,0.11,0.89,0,-0.5165
first,LEMON,Thank you Senator.,0,0.444,0.556,0.3612
first,KLOBUCHAR,- say is he's 6 years old.,0,1,0,0
first,LEMON,Mayor Buttigieg please respond.,0,0.566,0.434,0.3182
first,KLOBUCHAR,We have to remember that.,0,1,0,0
first,BUTTIGIEG,This is the exact same conversation we've been having since - since I was in high school. I was a junior when the Columbine shooting happened. I was part of the first generation that saw routine school shootings. We have now produced the second school shooting generation in this country. We better not allow there to be a third. Something is broken if it is even possible for the same debate around the same solutions that we all know are the right thing to do. They won't prevent every incident. They won't save every life. But we know what to do and it has not happened. ,0.079,0.878,0.043,-0.4344
first,LEMON,Thank you Mayor. Senator Klobuchar please respond. ,0,0.51,0.49,0.5859
first,KLOBUCHAR,Yes. What is broken is a political system that allows the NRA and other large big money to come in and make things not happen when the majority of people are for. The people are with us now. ,0.076,0.858,0.066,-0.1027
first,KLOBUCHAR,After Parkland those students just didn't march. They talked to their dads and their grandpas and the hunters in their family and they said there must be a better way. Then we elected people in the House of Representatives. And guess what? It changed and they passed universal background checks. And now that bill is sitting on Mitch McConnell's doorstep because of the money and the power of the NRA. As president I will take them on.,0,0.962,0.038,0.4404
first,LEMON,Thank you Senator. ,0,0.444,0.556,0.3612
first,KLOBUCHAR,This is not about systems and words. ,0,1,0,0
first,LEMON,Thank you Senator Klobuchar. ,0,0.545,0.455,0.3612
first,LEMON,Governor Bullock how can Democrats trust you to be the leader on this fight for gun safety when you only changed your position to call for an assault weapons ban last summer?,0.335,0.534,0.13,-0.8625
first,BULLOCK,You know like 40 percent of American households I'm a gun-owner. I hunt. Like far too many people in America I've been personally impacted by gun violence. Had an 11-year-old nephew Jeremy shot and killed on a playground. ,0.239,0.652,0.109,-0.7906
first,BULLOCK,We need to start looking at this as a public health issue not a political issue. I agree with Senator Klobuchar. It is the NRA. And it's not just gun violence. It's when we talked about climate when we talk about prescription drug costs Washington D.C. is captured by dark money the Koch brothers and others.,0.037,0.87,0.093,0.4973
first,BULLOCK,That's been the fight of my career. Kicking the Koch brothers out of Montana taking the first case after Citizens United up to the Supreme Court making it so that elections are about people. That's the way we're actually going to make a change on this Don is by changing that system. And most of the things that folks are talking about on this stage we're not going to address until we kick dark money and the post-Citizens United corporate spending out of these elections.,0.028,0.871,0.1,0.765
first,LEMON,Congressman O'Rourke your response?,0,1,0,0
first,O'ROURKE,How else can we explain that we lose nearly 40000 people in this country to gun violence a number that no other country comes even close to that we know what all the solutions are and yet nothing has changed? It is because in this country money buys influence access and increasingly outcomes. ,0.189,0.762,0.05,-0.8555
first,O'ROURKE,The Centers for Disease Control prevented from actually studying the issue in the first place. As president we will make sure that we ban political action committee contributions to any member of Congress or any candidate for federal office. We will listen to people not PACs people not corporations people not special interests.,0.129,0.814,0.058,-0.6367
first,LEMON,Congressman thank you very much. ,0,0.615,0.385,0.3612
first,LEMON,"Senator Sanders you said this in 2013 just months after the Sandy Hook massacre and I quote here: ""If you pass the strongest gun control legislation tomorrow I don't think it will have a profound effect on the tragedies we have seen."" Do you still agree with that statement today?",0.099,0.801,0.101,0.0258
first,SANDERS,I think we have got to do  I think what I meant is what President Obama said in that nobody up here is going to tell you that we have a magical solution to the crisis. ,0.113,0.824,0.063,-0.4215
first,SANDERS,Now I come from one of the most rural states in America. I have a D-minus voting record from the NRA. And as president I suspect it will be an F record. What I believe we have got to do is have the guts to finally take on the NRA.,0.049,0.951,0,-0.296
first,SANDERS,You asked me about my record. Back in 1988 coming from a state that had no gun control I called for the ban of the sale and distribution of assault weapons. I lost that election. I will do everything I can not only to take on the NRA but to expand and create universal background checks do away with the strawman provision do away with the gun show loophole and do away with the loopholes that now exist for gun manufacturers who are selling large amounts of weapons into communities that are going to gangs.,0.193,0.753,0.053,-0.8922
first,LEMON,Yeah. Mayor Buttigieg your response. ,0,0.645,0.355,0.296
first,BUTTIGIEG,Still the conversation that we've been having for the last 20 years. Of course we need to get money out of politics. But when I propose the actual structural democratic reforms that might make a difference end the Electoral College amend the Constitution if necessary to clear up Citizens United have D.C. actually be a state and depoliticize the Supreme Court with structural reform people look at me funny as if this country were incapable of structural reform. ,0.031,0.828,0.141,0.8519
first,BUTTIGIEG,Does anybody really think we're going to overtake Citizens United without constitutional action? This is a country that once changed its Constitution so you couldn't drink and then changed it back because we changed our minds about that.,0,0.928,0.072,0.4215
first,LEMON,Thank you. Thank you Mayor.,0,0.375,0.625,0.6124
first,BUTTIGIEG,And you're telling me we can't reform our democracy in our time?,0,1,0,0
first,LEMON,Thank you Mayor.,0,0.444,0.556,0.3612
first,BUTTIGIEG,We have to or we'll be having the same argument 20 years from now. ,0.161,0.839,0,-0.3612
first,LEMON,Please respond Governor Bullock.,0,0.566,0.434,0.3182
first,BULLOCK,You can make changes. Even in Montana with a two-thirds Republican legislature we passed a law that said if you're going to spend money in our elections I don't care if you call yourselves Americans for America for America you're going to have to disclose every one of those dollars in the last 90 days. ,0.049,0.951,0,-0.3875
first,BULLOCK,I'll never forget running for re-election in 2016. Even we stopped the Koch brothers from spending it that time. If we can kick the Koch brothers out of Montana we can do it in D.C. we can do it everywhere.,0.046,0.914,0.04,-0.0603
first,BULLOCK,And we're also taking steps additional steps that we've taken  I passed an executive order. If you're even going to contract with the state,0,1,0,0
first,LEMON,Governor Bullock thank you very much.,0,0.667,0.333,0.3612
first,WARREN,I'd like to have a chance on this.,0,0.526,0.474,0.5423
first,LEMON,Ms. Williamson how do you respond to this issue of gun safety?,0.158,0.658,0.184,0.1027
first,WILLIAMSON,The issue of gun safety of course is that the NRA has us in a chokehold but so do the pharmaceutical companies so do the health insurance companies so do the fossil fuel companies and so do the defense contractors and none of this will change until we either pass a constitutional amendment or pass legislation that establishes public funding for federal campaigns. ,0.027,0.91,0.063,0.3282
first,WILLIAMSON,But for politicians including my fellow candidates who themselves have taken tens of thousands  and in some cases hundreds of thousands  of dollars from these same corporate donors to think that they now have the moral authority to say we're going to take them on I don't think the Democratic Party should be surprised that so many Americans believe yada yada yada.,0,0.908,0.092,0.5994
first,WILLIAMSON,It is time for us to start over with people who have not taken donations from any of those corporations and can say with real moral authority: That is over. We are going to establish public funding for federal campaigns. That's what we need to stand up to.,0,0.973,0.027,0.0772
first,WILLIAMSON,We need to have a constitutional amendment. We need to have  we need to have legislation to do it.,0,1,0,0
first,LEMON,Thank you.,0,0.286,0.714,0.3612
first,WILLIAMSON,And until we do it it's just the same old same old. ,0,1,0,0
first,LEMON,Thank you. Thank you Ms. Williamson. The debate will be right back right after this short break. ,0,0.75,0.25,0.6124
first,TAPPER,Presidential Debate we are live from Detroit Michigan. In poll after poll Democratic voters say that they want a candidate who can beat President Trump more than they want a candidate who agrees with them on major issues. ,0,0.882,0.118,0.34
first,TAPPER,"Governor Hickenlooper you ran a Facebook ad that warned ""socialism is not the answer."" The ad also said ""don't let extremes give Trump four more years"" are you saying that Senator Sanders is too extreme to beat President Trump?",0.054,0.946,0,-0.2732
first,HICKENLOOPER,I'm saying the policies of  this notion that you're going to take private insurance away from 180 million Americans who many of them don't want to give  many of them do want to get rid of it but some don't  many don't. ,0.053,0.947,0,-0.0572
first,HICKENLOOPER,Or you're going to  the Green New Deal make sure that every American's guaranteed a government job if they want that is a disaster at the ballot box you might as well FedEx the election to Donald Trump.,0.098,0.766,0.136,-0.1027
first,HICKENLOOPER,I think we've got to focus on where Donald Trump is failing you know the world malpractice and this is interesting  I always thought it was doctors or lawyers it's  you know negligent improper illegal professional activity for doctors lawyers or public officials Google it check it out.,0.131,0.817,0.051,-0.6369
first,HICKENLOOPER,Donald Trump is malpractice personified we've got to point that out. Why is it soybean farmers in Iowa need 10 good years to get back to where they were 2 years ago? Where's the small manufacturing jobs that are supposed to come back?,0,0.926,0.074,0.504
first,HICKENLOOPER,Why are we lurching from one international crisis to another? All things that he promised American voters we've got to focus on that  and the economy and jobs and training so that we can promise a future for America that everybody wants to invest it.,0.082,0.822,0.096,-0.0772
first,TAPPER,Thank you Governor. Senator Sanders you are a proud Democratic-Socialist how do you respond to Governor Hickenlooper? ,0,0.714,0.286,0.6808
first,SANDERS,Well the truth is that every credible poll that I have seen has me beating Donald Trump  including the battleground states of Michigan where I won the Democratic primary  Wisconsin where I won the Democratic primary and Pennsylvania. ,0.123,0.624,0.254,0.7269
first,SANDERS,And the reason we are going to defeat Trump and beat him badly is that he is a fraud and a phony and we're going to expose him for what he is. The American people want to have a minimum wage which is a living wage $15 an hour. I've helped lead that effort.,0.199,0.779,0.022,-0.8807
first,SANDERS,The American people want to pay reasonable prices for prescription drugs not the highest prices in the world,0.075,0.856,0.07,-0.0258
first,TAPPER,Thank you Senator. ,0,0.444,0.556,0.3612
first,SANDERS,I've helped lead the effort for that as well. ,0,0.792,0.208,0.2732
first,TAPPER,Thank you Senator. Governor Hickenlooper I want to bring you back to respond? ,0,0.725,0.275,0.4215
first,HICKENLOOPER,So again I think if we're going to force Americans to make these radical changes they're not going to go along  throw your hands up ,0,1,0,0
first,SANDERS,All right (ph),0,1,0,0
first,HICKENLOOPER,Oh-ho I can do it. But you haven't (ph),0,1,0,0
first,HICKENLOOPER,implemented the plans us governors and mayors are the ones we have to pick up all the pieces when suddenly the government's supposed to take over all these responsibilities and there's no preparation the details aren't worked (ph). You can't just spring a plan on the world and expect it to succeed,0.04,0.901,0.059,0.25
first,SANDERS,John ,0,1,0,0
first,TAPPER,Senator Sanders? ,0,1,0,0
first,SANDERS,John I was a mayor and I helped transform my city  I have some practical experience. Second of all interestingly enough today is the anniversary of Medicare  54 years ago under Linda Johnson of the Democratic Congress they started a new program after one year 19 million elderly people in it. ,0,0.943,0.057,0.4019
first,SANDERS,Please don't tell me that in a four year period we cannot go from 65 down to 55 to 45 to 35  this is not radical. This is what virtually every other country on Earth runs (ph),0,0.938,0.062,0.3182
first,TAPPER,Thank you Senator.,0,0.444,0.556,0.3612
first,SANDERS,We are the odd dog out (ph). ,0.277,0.723,0,-0.3182
first,TAPPER,I want to bring in  I want to bring in Congressman Ryan. You're from the state of Ohio it's a state that voted twice for Obama and then went to President Trump in 2016 please respond to Senator Sanders. ,0,0.871,0.129,0.4404
first,RYAN,Well I would just say Hillary Clinton was winning in the polls too to take a snapshot in the polls today and apply it 16 months from now or whenever it is I don't think is accurate. ,0,0.853,0.147,0.6705
first,RYAN,Now in this discussion already tonight we've talked about taking private health insurance away from union members in the industrial Midwest we've talked about decriminalizing the border and we've talked about giving free healthcare to undocumented workers when so many Americans are struggling to pay for their healthcare.,0.078,0.816,0.106,0.3612
first,RYAN,I quite frankly don't think that that is an agenda that we can move forward on and win. We've got to talk about the working class issues the people that take a shower after work who haven't had a raise in 30 years,0,0.911,0.089,0.5859
first,TAPPER,Thank you  thank you Congressman ,0,0.375,0.625,0.6124
first,RYAN,If we focus on that we'll win the election. ,0,0.678,0.322,0.5859
first,TAPPER,Thank you Congressman I want to bring Congressman O'Rourke your response sir? ,0,0.703,0.297,0.4215
first,O'ROURKE,Bernie was talking about some of the battleground states in which we compete  there is a new battleground state Texas and it has 38 electoral college votes. And the way that we put it in play was by going to each one of those 254 counties. No matter how red or rural we did not write you off. No matter how blue or urban  we did not take you for granted. ,0.125,0.791,0.084,-0.6369
first,O'ROURKE,And we didn't trim our sails either. We had the courage of our convictions talking about universal health care comprehensive immigration reform and confronting the challenge of climate before it is too late. We brought everyone in,0.037,0.739,0.224,0.7964
first,TAPPER,Thank you.,0,0.286,0.714,0.3612
first,O'ROURKE, and now we have a chance to beat Donald Trump with Texas. ,0,0.833,0.167,0.25
first,TAPPER,Thank you Congressman. I want to bring in Governor Bullock. We're talking about whether Democrats are moving too far to the left to win the White House. President Trump won your home state of Montana by 20 points. How do you respond sir? BULLOCK: Yeah as the only one of the field of 37 that actually won a Trump state  25 percent to 30 percent of my voters voted for Donald Trump  I know that we do have to win back some of those places we lost and get those Trump voters back if we're ever going to win. ,0.02,0.762,0.217,0.9702
first,TAPPER,But this isn't just a choice between the left and the center. It's not a choice just between sort of these wish list economics or thinking that we have to sacrifice our values to actually win. What folks want is a fair shot. The way I won the way we can win is to actually focus on the economy and the democracy aren't working for most people.,0,0.737,0.263,0.9584
first,TAPPER,Thank you Governor.,0,0.444,0.556,0.3612
first,BULLOCK,That's how I win. That's how we can take back the office.,0,0.725,0.275,0.5859
first,TAPPER,Thank you Governor. Senator Warren you make it a point to say that you're a capitalist. Is that your way of convincing voters that you might be a safer choice than Senator Sanders?,0,0.771,0.229,0.7906
first,WARREN,No. It is my way of talking about I know how to fight and I know how to win. I took on giant banks and I beat them. I took on Wall Street and CEOs and their lobbyists and their lawyers and I beat them. I took on a popular Republican incumbent senator and I beat him. ,0.087,0.794,0.119,0.4215
first,WARREN,I remember when people said Barack Obama couldn't get elected. Shoot I remember when people said Donald Trump couldn't get elected. But here's where we are.,0,0.919,0.081,0.2584
first,WARREN,I get it. There is a lot at stake and people are scared. But we can't choose a candidate we don't believe in just because we're too scared to do anything else. And we can't ask other people to vote for a candidate we don't believe in.,0.124,0.876,0,-0.7003
first,WARREN,Democrats win when we figure out what is right and we get out there and fight for it. I am not afraid. And for Democrats to win you can't be afraid either.,0.068,0.733,0.199,0.7184
first,TAPPER,Congressman Delaney your response? ,0,1,0,0
first,DELANEY,So  so I think Democrats win when we run on real solutions not impossible promises when we run on things that are workable not fairy tale economics.,0.071,0.743,0.186,0.5544
first,DELANEY,Look at the story of Detroit this amazing city that we're in. This city is turning around because the government and the private sector are working well together. That has to be our model going forward. We need to encourage collaboration between the government the private sector and the nonprofit sector and focus on those kitchen table pocketbook issues that matter to hard-working Americans: building infrastructure creating jobs improving their pay,0.017,0.786,0.197,0.9274
first,TAPPER,Thank you Congressman. ,0,0.444,0.556,0.3612
first,DELANEY, creating universal health care and lowering drug prices. ,0.161,0.403,0.435,0.5267
first,TAPPER,Thank you Congressman. Senator Warren?,0,0.615,0.385,0.3612
first,DELANEY,We can do it. ,0,1,0,0
first,WARREN,You know I don't understand why anybody goes to all the trouble of running for president of the United States just to talk about what we really can't do and shouldn't fight for. ,0.074,0.791,0.136,0.3147
first,WARREN,I don't get it.,0,1,0,0
first,WARREN,Our biggest problem in Washington is corruption. It is giant corporations that have taken our government and that are holding it by the throat. And we need to have the courage to fight back against that. And until we're ready to do that it's just more of the same.,0.095,0.804,0.102,0.1027
first,WARREN,Well I'm ready to get in this fight. I'm ready to win this fight.,0.241,0.321,0.438,0.5994
first,TAPPER,Thank you Senator. Congressman Delaney?,0,0.615,0.385,0.3612
first,DELANEY,When we created Social Security we didn't say pensions were illegal right? We can have big ideas to transform the lives. I mean I started two companies and took them public before I was 40. I'm as big of a dreamer and an entrepreneur as anyone.,0.077,0.83,0.094,-0.0516
first,DELANEY,But I also believe we need to have solutions that are workable. Can you imagine if we tried to start Social Security now but said private pensions are illegal? That's the equivalent of what Senator Sanders and Senator Warren are proposing with health care. That's not a big idea. That's an idea that's dead on arrival. That will never happen. So why don't we actually talk about things big ideas that we can get done? The stakes are too high.,0.122,0.797,0.08,-0.782
first,TAPPER,Thank you Congressman. Senator Warren?,0,0.615,0.385,0.3612
first,WARREN,So look he talks,0,1,0,0
first,SANDERS,He just mentioned my name.,0,1,0,0
first,TAPPER,We'll come to you right after that. ,0,1,0,0
first,TAPPER,Senator Warren?,0,1,0,0
first,WARREN,He talks about solutions that are workable. We have tried the solution of Medicare Medicaid and private insurance. And what have the private insurance companies done? They've sucked billions of dollars out of our health care system. They've made everybody fill out dozens and dozens of forms. Why? Not because they're trying to track your health care. They just want one more excuse to say no. Insurance companies do not have a God-given right to suck money out of our health care system. ,0.084,0.743,0.174,0.7752
first,TAPPER,Thank you Senator. ,0,0.444,0.556,0.3612
first,WARREN,And 2020 is our chance to stop it. ,0.216,0.588,0.196,-0.0516
first,TAPPER,Thank you Senator. Senator Sanders? ,0,0.615,0.385,0.3612
first,SANDERS,Detroit was mentioned. And I'm delighted that Detroit is rebounding. But let us understand Detroit was nearly destroyed because of awful trade policy which allowed corporations to throw workers in this community out on the streets as they moved to low-wage countries. ,0.128,0.804,0.068,-0.4404
first,SANDERS,To win this election and to defeat Donald Trump  which by the way in my view is not going to be easy  we need to have a campaign of energy and excitement and of vision. We need to bring millions of young people into the political process in a way that we have never seen by among other things making public colleges,0.042,0.761,0.197,0.875
first,TAPPER,Thank you Senator.,0,0.444,0.556,0.3612
first,SANDERS, and universities tuition-free and canceling student debt. ,0.294,0.706,0,-0.3612
first,TAPPER,Thank you Senator. Thank you Senator. ,0,0.444,0.556,0.6124
first,TAPPER,"I want to bring in  I want to bring in Senator Klobuchar. At the beginning of the night you said you're going to hear a lot of promises on the stage. And previously you have said when asked about your primary opponents quote ""A lot of people are making promises and I'm not going to make promises just to get elected."" Who on this stage is making promises just to get elected?",0,0.829,0.171,0.875
first,KLOBUCHAR,Everyone wants to get elected. But my point is this: I think when we have a guy in the White House that has now told over 10000 lies that we'd better be very straightforward with the American people.,0.071,0.856,0.073,0.0258
first,KLOBUCHAR,And no do I think that we are going to end up voting for a plan that kicks half of America off of their current insurance in four years? No I don't think we're going to do that. I think there is a better way to get what we all want to see which is lower costs for health care.,0.105,0.778,0.117,0.2023
first,KLOBUCHAR,Do I think that we're going to vote to give free college to the wealthiest kids? No I don't think we're going to do that. So that's what I'm talking about.,0.063,0.749,0.187,0.6486
first,KLOBUCHAR,But what I don't like about this argument right now what I don't like about it at all is that we are more worried about winning an argument than winning an election.,0.279,0.547,0.174,-0.3369
