"speaker","text","neg","neu","pos","compound","start_time","end_time","length"
"BENNET","Mr. President; kids belong in classrooms not cages.","0.0","1.0","0.0","0.0",618.35,623.729999,5.379998999999998
"BENNET","And they deserve something better than a bully in the White House.  Let's end this three ringed circus in Washington and make  and let's make this election about reclaiming our future for our kids and our democracy.  Empty promises won't beat Donald Trump I can.","0.101","0.788","0.111","0.128",629.989999,648.259999,18.269999999999982
"BASH"," Governor Jay Inslee.","0.0","1.0","0.0","0.0",649.899999,650.94,1.0400010000000748
"INSLEE"," Good evening.  I'm Jay Inslee.  I am running for president because the people in this room and the democrats watching tonight are the last best hope for humanity on this planet.","0.0","0.73","0.27","0.875",653.36,666.389999,13.029998999999975
"INSLEE","If  if we make defeating the climate crisis the top priority of the United States we will have a fighting chance to save ourselves and our children's future.  It has to be our top priority.  My plan is one of national mobilization quickly bringing 100 percent clean energy to Americans creating 8 million good union jobs.","0.127","0.578","0.296","0.8519",667.8099990000001,693.85,26.04000099999996
"INSLEE","This is a big bold ambitious plan for clean energy for a big bold ambitious nation.  Middle ground approaches are not enough.  We must confront the fossil fuel industry.  I've been working on this for 25 years.","0.037","0.61","0.353","0.926",694.17,710.8100000000001,16.6400000000001
"INSLEE","And now we know this we are at tipping point and whether we shrink from this challenge or rise to it is the vital question of our time.  We democrats believe we can still do big things in this nation.  We can defeat the climate crisis.  Let's get to work.","0.125","0.812","0.063","-0.6731",711.0,730.01,19.00999999999999
"BASH"," Senator Kirsten Gillibrand.  ","0.0","1.0","0.0","0.0",732.53,733.86,1.330000000000041
"GILLIBRAND"," My grandmother taught me that nothing's impossible.  She spent two generations organizing women in upstate New York.  My mother taught me nothing's impossible.  She was one of only three women in her law school class and worked with gay couples for basic rights.","0.0","1.0","0.0","0.0",736.109999,752.09,15.980001000000016
"GILLIBRAND","If you want to get something done just tell me it's impossible.  As a freshman senator I was told you couldn't repeal Don't Ask Don't Tell.  Even members of my own party told me it wasn't convenient.  When are civil rights ever convenient?","0.0","0.907","0.093","0.4588",752.929999,767.27,14.34000100000003
"GILLIBRAND","We stood up to the Pentagon and we got it done.  Not impossible.  10 years ago I was told you couldn't pass healthcare for our 9/11 first responders those heroes who raced up the towers when others were coming down.","0.0","0.92","0.08","0.5106",767.87,781.26,13.389999999999986
"GILLIBRAND","Even when Congress turned its back on them we kept fighting.  Just last week we made the 9/11 health bill permanent.","0.111","0.889","0.0","-0.3612",782.13,789.19,7.060000000000059
"GILLIBRAND","Beating Donald Trump definitely not impossible.  We need a nominee who will take on the big fights and win.  We need a nominee who doesn't know the meaning of impossible.","0.157","0.663","0.18","0.2023",796.0300000000001,807.24,11.209999999999923
"BASH"," Congresswoman Tulsi Gabbard.","0.0","1.0","0.0","0.0",808.289999,809.7299999999999,1.4400009999999384
"GABBARD"," I love our country.  It's why I enlisted after 9/11 why I've served as a soldier for over 16 years deployed twice to the Middle East and serve in Congress now for almost seven years.","0.0","0.881","0.119","0.6369",812.76,823.38,10.620000000000005
"GABBARD","I know what patriotism is and I've known many great patriots throughout my life.  And let me tell you this Donald Trump is not behaving like a patriot.  As president I will bring this spirit of real patriotism to the White House serving the interest of all Americans not just the rich and powerful.","0.081","0.728","0.191","0.7744",824.4,843.42,19.019999999999982
"GABBARD","I'll fight for our rights and freedoms of all Americans upholding these principles in our constitution upon which our country was founded fighting for justice and equality for all.  Fighting for every single American regardless of race or religion as we strive towards that more perfect union.","0.131","0.705","0.165","0.4576",844.029999,863.08,19.050001000000066
"GABBARD","And as president I'll bring this unifying spirit of love for country and the soldier's values of service above self to the White House truly leading a government of by and for the people.","0.0","0.716","0.284","0.8885",863.08,875.85,12.769999999999982
"BASH"," Secretary Julian Castro.","0.0","1.0","0.0","0.0",876.91,878.61,1.7000000000000455
"CASTRO"," Thank you Dana and good evening. ","0.0","0.426","0.574","0.6597",879.429999,881.4799989999999,2.0499999999999545
"CASTRO","You know just a few days ago we were reminded and inspired by our fellow Americans in Puerto that public service is not fundamentally about any of us; it's about you and your family.","0.0","0.909","0.091","0.4939",882.82,897.74,14.919999999999959
"CASTRO","I want you to know that if I'm elected president that I will work hard every single day so that you and your family can have good health care when you need it so that your children and grandchildren can get a good education so that they can reach their dreams and that you can have good job opportunities whether you live here in a big city like Detroit or in a small town in our country.","0.016","0.725","0.258","0.9565",898.76,918.84,20.08000000000004
"CASTRO","I know we have a wonderful special nation but that too many people are struggling.  And I know what that's like too.  You know I grew up with a single mom in a poor neighborhood.  But like many of you I don't want to make America anything again.  I don't want us to go backward.  We're not going back to the past.  We're not going back where we came from.  We're going to move forward.  We're going to make America better than it's ever been in the years to come.  Let's do that together.","0.103","0.754","0.143","0.6167",919.68,947.46,27.780000000000086
"BASH"," Andrew Yang?","0.0","1.0","0.0","0.0",950.0,950.75,0.75
"YANG"," If you've heard anything about me and my campaign you've heard that someone is running for president who wants to give every American $1000 a month.  I know this may sound like a gimmick but this is a deeply American idea from Thomas Paine to Martin Luther King to today. ","0.0","0.963","0.037","0.1901",952.92,967.09,14.170000000000073
"YANG","Let me tell you why we need to do it and how we pay for it.  Why do we need to do it?  We already automated away millions of manufacturing jobs and chances are your job can be next.  If you don't believe me just ask an auto worker here in Detroit.","0.026","0.94","0.034","0.1027",967.549999,980.4000000000001,12.850001000000134
"YANG","How do we pay for it?  Raise your hand in the crowd if you've seen stores closing where you live.  It is not just you.  Amazon is closing 30 percent of America's stores and malls and paying zero in taxes while doing it.  We need to do the opposite of much of what we're doing right now and the opposite of Donald Trump is an Asian man who likes math.","0.039","0.881","0.08","0.6227",981.23,1000.7099999999999,19.479999999999905
"YANG","So let me share the math.  A thousand dollars a month for every adult would be $461 million every month right here in Detroit alone.  The automation of our jobs is the central challenge facing us today.  It is why Donald Trump is our president and any politician not addressing it is failing the American people.","0.09","0.847","0.064","-0.3687",1003.509999,1023.05,19.54000099999996
"BASH"," Senator Cory Booker?","0.0","1.0","0.0","0.0",1025.17,1026.239999,1.0699989999998252
"BOOKER"," Thank you Dana. ","0.0","0.444","0.556","0.3612",1026.75,1027.46,0.7100000000000364
"BOOKER","Last week the president of the United States attacked an American city calling it ""a disgusting rat-infested rodent mess.""","0.254","0.635","0.111","-0.5574",1028.68,1040.7900000000002,12.110000000000127
"BOOKER"," We need a nation that understands that this tired old language the","0.252","0.748","0.0","-0.5228",1041.79,1048.8700000000001,7.080000000000155
"LEMON"," Stand by Senator. ","0.0","1.0","0.0","0.0",1057.049999,1057.9599999999998,0.9100009999997383
"BOOKER"," I will stand by.","0.0","1.0","0.0","0.0",1057.9599999999998,1074.62,16.660000000000082
"LEMON"," Please stand by.","0.0","0.465","0.535","0.3182",999999999,0,-999999999
"LEMON"," Please continue Senator. ","0.0","0.465","0.535","0.3182",1074.79,1075.18,0.39000000000010004
"BOOKER"," Thank you very much.","0.0","0.545","0.455","0.3612",1075.84,1076.52,0.6800000000000637
"BOOKER","Donald Trump from Charleston to Baltimore to even the border is using the tired old language of demagogues of fear-mongers of racists to try to divide our country against itself.  We know who Donald Trump is but in this election the question is who are we as a people?","0.084","0.916","0.0","-0.4939",1077.2,1100.74,23.539999999999964
"BOOKER","We have serious problems in America.  We have deep wounds and seriously deeply rooted challenges.  We desperately need to heal as a nation and move forward.  Because we know in this country that our fates are united that we have a common destiny.  The call of this election is the call to unite in common cause and common purpose.  That's how we will beat Donald Trump.  That's how I will beat Donald Trump.  And as your president that's how I will govern and move us forward together.","0.093","0.859","0.049","-0.4445",1101.85,1144.0399989999999,42.18999899999994
"BASH"," Senator Kamala Harris?","0.0","1.0","0.0","0.0",1147.12,1148.26,1.1400000000001
"HARRIS"," This is an inflection moment in the history of our country.  I think we all know that.  This is a moment in time that is requiring us each as individuals and collectively to look in a mirror and ask a question that question being ""Who are we?""","0.0","1.0","0.0","0.0",1150.690001,1165.84,15.14999899999998
"HARRIS","And I think most of us know that part of the answer to that question is we are better than this.  So this then becomes a moment that we must fight for the best of who we are.  And fight of course we will.","0.103","0.755","0.141","0.4404",1166.52,1181.219999,14.699998999999934
"HARRIS","And this is not a new fight for us as Americans.  We have always been prepared to fight for our ideals.  We have always been a nation that fights for the best of who we are.","0.063","0.652","0.286","0.8209",1181.91,1193.4799999999998,11.569999999999709
"HARRIS","And I'll tell you I come from fighters.  My parents met when they were active in the civil rights movement.  My sister Maya and I joke we grew up surrounded by a bunch of adults who spent full time marching and shouting about this thing called justice.","0.024","0.808","0.168","0.7964",1194.09,1204.669999,10.579999000000043
