speaker,word,n,total,tf,idf,tf_idf
BULLOCK,folks,6,1988,0.009708737864077669,1.6094379124341003,0.01562561080033107
BULLOCK,brothers,4,1988,0.006472491909385114,1.2039728043259361,0.007792704235119328
BULLOCK,elections,4,1988,0.006472491909385114,2.302585092994046,0.014903463385074731
BULLOCK,koch,4,1988,0.006472491909385114,2.302585092994046,0.014903463385074731
BULLOCK,montana,4,1988,0.006472491909385114,2.302585092994046,0.014903463385074731
BULLOCK,news,4,1988,0.006472491909385114,1.2039728043259361,0.007792704235119328
BULLOCK,strength,4,1988,0.006472491909385114,2.302585092994046,0.014903463385074731
BULLOCK,address,3,1988,0.0048543689320388345,1.6094379124341003,0.007812805400165535
BULLOCK,dana,3,1988,0.0048543689320388345,1.6094379124341003,0.007812805400165535
BULLOCK,rip,3,1988,0.0048543689320388345,2.302585092994046,0.011177597538806048
BUTTIGIEG,community,7,2572,0.008883248730964468,0.9162907318741551,0.008139638481115591
BUTTIGIEG,school,6,2572,0.007614213197969543,0.9162907318741551,0.006976832983813364
BUTTIGIEG,black,4,2572,0.005076142131979695,1.6094379124341003,0.008169735596112183
BUTTIGIEG,moment,4,2572,0.005076142131979695,1.6094379124341003,0.008169735596112183
BUTTIGIEG,watch,4,2572,0.005076142131979695,2.302585092994046,0.01168824920301546
BUTTIGIEG,gig,3,2572,0.0038071065989847717,2.302585092994046,0.008766186902261596
BUTTIGIEG,handled,3,2572,0.0038071065989847717,1.6094379124341003,0.006127301697084139
BUTTIGIEG,housing,3,2572,0.0038071065989847717,1.6094379124341003,0.006127301697084139
BUTTIGIEG,low,3,2572,0.0038071065989847717,1.6094379124341003,0.006127301697084139
BUTTIGIEG,options,3,2572,0.0038071065989847717,1.6094379124341003,0.006127301697084139
DELANEY,private,9,1925,0.012747875354107648,0.6931471805599453,0.00883615385982933
DELANEY,wealthy,9,1925,0.012747875354107648,1.2039728043259361,0.015348095239282471
DELANEY,healthcare,6,1925,0.0084985835694051,0.9162907318741551,0.007787173358703868
DELANEY,impossible,6,1925,0.0084985835694051,1.6094379124341003,0.01367794259859009
DELANEY,promises,5,1925,0.007082152974504249,1.6094379124341003,0.011398285498825073
