speaker,bigram,n,total,tf,idf,tf_idf
BENNET,public option,5,1638,0.03787878787878788,1.6094379124341003,0.06096355728917047
BENNET,barack obama,3,1638,0.022727272727272728,1.2039728043259361,0.02736301828013491
BENNET,employer based,3,1638,0.022727272727272728,1.6094379124341003,0.03657813437350228
BENNET,based insurance,2,1638,0.015151515151515152,1.6094379124341003,0.024385422915668187
BENNET,divisive politics,2,1638,0.015151515151515152,2.302585092994046,0.03488765292415221
BENNET,term president,2,1638,0.015151515151515152,2.302585092994046,0.03488765292415221
BENNET,universal healthcare,2,1638,0.015151515151515152,1.6094379124341003,0.024385422915668187
BENNET,accusing democrats,1,1638,0.007575757575757576,2.302585092994046,0.017443826462076106
BENNET,admit tonight,1,1638,0.007575757575757576,2.302585092994046,0.017443826462076106
BENNET,ambition ah,1,1638,0.007575757575757576,2.302585092994046,0.017443826462076106
BIDEN,border illegally,3,3524,0.013636363636363636,2.302585092994046,0.03139888763173699
BIDEN,police department,3,3524,0.013636363636363636,1.6094379124341003,0.021946880624101366
BIDEN,based insurance,2,3524,0.00909090909090909,1.6094379124341003,0.014631253749400911
BIDEN,bernie acknowledges,2,3524,0.00909090909090909,2.302585092994046,0.020932591754491324
BIDEN,combat troops,2,3524,0.00909090909090909,2.302585092994046,0.020932591754491324
BIDEN,deeply involved,2,3524,0.00909090909090909,2.302585092994046,0.020932591754491324
BIDEN,employer based,2,3524,0.00909090909090909,1.6094379124341003,0.014631253749400911
BIDEN,fundamentally change,2,3524,0.00909090909090909,2.302585092994046,0.020932591754491324
BIDEN,giuliani's guy,2,3524,0.00909090909090909,2.302585092994046,0.020932591754491324
BIDEN,hyde amendment,2,3524,0.00909090909090909,1.6094379124341003,0.014631253749400911
BOOKER,vice president,8,1900,0.05,0.3566749439387324,0.01783374719693662
BOOKER,beat donald,4,1900,0.025,0.6931471805599453,0.01732867951399863
BOOKER,civil courts,3,1900,0.01875,2.302585092994046,0.04317347049363836
BOOKER,common purpose,3,1900,0.01875,2.302585092994046,0.04317347049363836
BOOKER,crime bill,3,1900,0.01875,2.302585092994046,0.04317347049363836
BOOKER,criminal courts,2,1900,0.0125,2.302585092994046,0.028782313662425577
BOOKER,free world,2,1900,0.0125,2.302585092994046,0.028782313662425577
BOOKER,human rights,2,1900,0.0125,2.302585092994046,0.028782313662425577
BOOKER,impeachment proceedings,2,1900,0.0125,1.6094379124341003,0.020117973905426256
BOOKER,unlawful crossing,2,1900,0.0125,2.302585092994046,0.028782313662425577
CASTRO,eric garner,3,1423,0.026785714285714284,1.2039728043259361,0.032249271544444714
CASTRO,family separations,2,1423,0.017857142857142856,2.302585092994046,0.041117590946322245
CASTRO,immigration plan,2,1423,0.017857142857142856,2.302585092994046,0.041117590946322245
CASTRO,impeachment proceedings,2,1423,0.017857142857142856,1.6094379124341003,0.028739962722037504
CASTRO,mitch mcconnell,2,1423,0.017857142857142856,1.6094379124341003,0.028739962722037504
CASTRO,move forward,2,1423,0.017857142857142856,1.6094379124341003,0.028739962722037504
CASTRO,officer pantaleo,2,1423,0.017857142857142856,2.302585092994046,0.041117590946322245
CASTRO,senator booker,2,1423,0.017857142857142856,2.302585092994046,0.041117590946322245
CASTRO,bail reform,1,1423,0.008928571428571428,2.302585092994046,0.020558795473161123
CASTRO,begin impeachment,1,1423,0.008928571428571428,2.302585092994046,0.020558795473161123
DE BLASIO,vice president,10,1699,0.07462686567164178,0.3566749439387324,0.026617533129756146
DE BLASIO,health insurance,6,1699,0.04477611940298507,1.2039728043259361,0.053909230044444895
DE BLASIO,justice department,4,1699,0.029850746268656716,1.2039728043259361,0.035939486696296596
DE BLASIO,class people,2,1699,0.014925373134328358,2.302585092994046,0.034366941686478296
DE BLASIO,pocket expenses,2,1699,0.014925373134328358,2.302585092994046,0.034366941686478296
DE BLASIO,president biden,2,1699,0.014925373134328358,1.2039728043259361,0.017969743348148298
DE BLASIO,status quo,2,1699,0.014925373134328358,1.6094379124341003,0.024021461379613435
DE BLASIO,universal health,2,1699,0.014925373134328358,1.6094379124341003,0.024021461379613435
DE BLASIO,absolutely inaccurate,1,1699,0.007462686567164179,2.302585092994046,0.017183470843239148
DE BLASIO,america tonight,1,1699,0.007462686567164179,2.302585092994046,0.017183470843239148
GABBARD,al qaida,4,1607,0.024691358024691357,2.302585092994046,0.05685395291343323
GABBARD,blocked evidence,3,1607,0.018518518518518517,2.302585092994046,0.04264046468507492
GABBARD,immigration system,3,1607,0.018518518518518517,1.2039728043259361,0.02229579267270252
GABBARD,legal immigration,3,1607,0.018518518518518517,1.6094379124341003,0.02980440578581667
GABBARD,change wars,2,1607,0.012345679012345678,2.302585092994046,0.028426976456716616
GABBARD,cold war,2,1607,0.012345679012345678,2.302585092994046,0.028426976456716616
GABBARD,death row,2,1607,0.012345679012345678,2.302585092994046,0.028426976456716616
GABBARD,fair trade,2,1607,0.012345679012345678,2.302585092994046,0.028426976456716616
GABBARD,healthcare system,2,1607,0.012345679012345678,2.302585092994046,0.028426976456716616
GABBARD,regime change,2,1607,0.012345679012345678,2.302585092994046,0.028426976456716616
GILLIBRAND,op ed,3,1421,0.028846153846153848,2.302585092994046,0.06642072383636671
GILLIBRAND,civil violation,2,1421,0.019230769230769232,2.302585092994046,0.044280482557577806
GILLIBRAND,nothing's impossible,2,1421,0.019230769230769232,2.302585092994046,0.044280482557577806
GILLIBRAND,address vice,1,1421,0.009615384615384616,2.302585092994046,0.022140241278788903
GILLIBRAND,administration families,1,1421,0.009615384615384616,2.302585092994046,0.022140241278788903
