night,word,n
first,nra,12
first,racism,12
first,political,11
first,taking,11
first,wealth,11
first,corporate,9
first,gun,9
first,market,9
first,military,9
first,loan,8
second,vice,33
second,biden,13
second,impeachment,11
second,harris,9
second,situation,8
second,california,7
second,death,7
second,deeply,7
second,garner,7
second,penalty,7
